CONCEPT_ID	CONCEPT_CODE	CONCEPT_CLASS
43533372	S9110	Procedure
2719535	L1005	Procedure
40664503	G8642	Procedure
40664527	G8643	Procedure
2618169	H2019	Procedure
2618170	H2020	Procedure
2721694	T2037	Procedure
2721693	T2036	Procedure
2617324	G0239	Procedure
2617323	G0238	Procedure
2617322	G0237	Procedure
2617852	G8453	Procedure
2721348	S8040	Procedure
2721108	S2095	Procedure
2617370	G0291	Procedure
2617369	G0290	Procedure
2616268	C8926	Procedure
2616267	C8925	Procedure
2719823	L3600	Procedure
2719824	L3610	Procedure
2719827	L3640	Procedure
2719825	L3620	Procedure
2719826	L3630	Procedure
2616565	E0246	Procedure
2617461	G0392	Procedure
2617462	G0393	Procedure
2721088	S2054	Procedure
2721087	S2053	Procedure
2616263	C8921	Procedure
2616264	C8922	Procedure
2616265	C8923	Procedure
2616266	C8924	Procedure
43533226	S0354	Procedure
43533238	S0353	Procedure
2617459	G0389	Procedure
2614681	A0999	Procedure
2720431	L8499	Procedure
2617342	G0257	Procedure
2721352	S8055	Procedure
2721435	S9090	Procedure
2617440	G0365	Procedure
2721546	S9476	Procedure
2721533	S9449	Procedure
2721318	S5190	Procedure
2617256	G0168	Procedure
2720320	L6925	Procedure
2720319	L6920	Procedure
2720174	L6055	Procedure
2720173	L6050	Procedure
2720902	RE	Procedure
2721045	S0400	Procedure
2617356	G0271	Procedure
2721019	S0220	Procedure
2721020	S0221	Procedure
2617988	G9054	Procedure
2617986	G9052	Procedure
2617985	G9051	Procedure
2617911	G8512	Procedure
2617263	G0175	Procedure
2721657	T1503	Procedure drug
2721656	T1502	Procedure drug
2617872	G8473	Procedure drug
2617849	G8450	Procedure drug
2720578	Q0085	Procedure drug
2720577	Q0084	Procedure drug
2720576	Q0083	Procedure drug
2616774	E0935	Procedure drug
2617926	G8527	Procedure drug
2617903	G8504	Procedure drug
40664594	G8629	Procedure drug
40664587	G8630	Procedure drug
2617902	G8503	Procedure drug
2617904	G8505	Procedure drug
40664691	G8702	Procedure drug
40664637	G8703	Procedure drug
2618092	GS	Procedure drug
40664740	S3722	Procedure drug
40664758	G8870	Procedure drug
2721555	S9501	Procedure drug
2721554	S9500	Procedure drug
2721553	S9497	Procedure drug
2721556	S9502	Procedure drug
2721552	S9494	Procedure drug
2721496	S9359	Procedure drug
2721320	S5497	Procedure drug
2721476	S9329	Procedure drug
2721322	S5501	Procedure drug
2721508	S9375	Procedure drug
2721509	S9376	Procedure drug
2721506	S9373	Procedure drug
2721323	S5502	Procedure drug
2721489	S9347	Procedure drug
2721472	S9325	Procedure drug
2721490	S9348	Procedure drug
2721500	S9365	Procedure drug
2721501	S9366	Procedure drug
2721502	S9367	Procedure drug
2721503	S9368	Procedure drug
2721499	S9364	Procedure drug
2721615	SS	Procedure drug
2721328	S5521	Procedure drug
2721327	S5520	Procedure drug
2721488	S9346	Procedure drug
2721558	S9504	Procedure drug
2721557	S9503	Procedure drug
2721487	S9345	Procedure drug
2721498	S9363	Procedure drug
2721321	S5498	Procedure drug
2721494	S9355	Procedure drug
2721477	S9330	Procedure drug
2721480	S9336	Procedure drug
2721493	S9353	Procedure drug
2721492	S9351	Procedure drug
2721473	S9326	Procedure drug
2721551	S9490	Procedure drug
2721497	S9361	Procedure drug
2721495	S9357	Procedure drug
2721510	S9377	Procedure drug
2721507	S9374	Procedure drug
2721481	S9338	Procedure drug
2721475	S9328	Procedure drug
2721511	S9379	Procedure drug
2721330	S5523	Procedure drug
2721329	S5522	Procedure drug
2721478	S9331	Procedure drug
2721474	S9327	Procedure drug
2721491	S9349	Procedure drug
2721576	S9559	Procedure drug
2721569	S9542	Procedure drug
2721578	S9562	Procedure drug
2721575	S9558	Procedure drug
2721577	S9560	Procedure drug
2721566	S9537	Procedure drug
2721505	S9372	Procedure drug
2721579	S9590	Procedure drug
40663578	J7325	Procedure drug
2718699	J7323	Procedure drug
2718697	J7321	Procedure drug
2718700	J7324	Procedure drug
2718698	J7322	Procedure drug
40662774	G9141	Procedure drug
2720574	Q0081	Procedure drug
2720545	P9046	Procedure drug
2720546	P9047	Procedure drug
2720544	P9045	Procedure drug
2720540	P9041	Procedure drug
2718663	J7070	Procedure drug
2718664	J7100	Procedure drug
2718665	J7110	Procedure drug
2718657	J7030	Procedure drug
2718660	J7050	Procedure drug
2718658	J7040	Procedure drug
40663953	J0833	Procedure drug
40664358	J9171	Procedure drug
40664827	J0897	Procedure drug
40664831	C9280	Procedure drug
40664832	C9287	Procedure drug
40664062	Q2024	Procedure drug
40659019	C9254	Procedure drug
40661533	C9256	Procedure drug
40658767	J0598	Procedure drug
40662243	A9581	Procedure drug
40664795	C9281	Procedure drug
40664807	J0131	Procedure drug
40664808	J0490	Procedure drug
40664810	J9043	Procedure drug
40664813	C9283	Procedure drug
40660485	J0461	Procedure drug
40664775	C9286	Procedure drug
40663960	J1680	Procedure drug
40664593	J1559	Procedure drug
40659692	C9255	Procedure drug
40659693	C9257	Procedure drug
40664858	J7180	Procedure drug
40664859	J7183	Procedure drug
40664542	C9271	Procedure drug
40664543	C9272	Procedure drug
40664550	J1290	Procedure drug
40664554	J9307	Procedure drug
40664558	S0148	Procedure drug
40664565	C9278	Procedure drug
40663971	J7185	Procedure drug
