id	code	domain_name	secondary_domain
2108555	40490	Procedure	
2109309	47000	Procedure	
2109310	47001	Procedure	
2109314	47100	Procedure	
2102093	11755	Procedure	
2110854	64795	Procedure	
2110260	58900	Procedure	
2108726	42100	Procedure	
2109398	48100	Procedure	
2109399	48102	Procedure	
2109906	54100	Procedure	
2109907	54105	Procedure	
2108763	42405	Procedure	
2108762	42400	Procedure	
2101932	11101	Procedure	
2101931	11100	Procedure	
2110608	62269	Procedure	
42736498	43600	Procedure	
2108959	43605	Procedure	
2109970	54505	Procedure	
2109969	54500	Procedure	
2108628	41100	Procedure	
2108629	41105	Procedure	
2109845	53200	Procedure	
2110089	57105	Procedure	
2110088	57100	Procedure	
2110062	56606	Procedure	
2110061	56605	Procedure	
2108466	38505	Procedure	
2108469	38525	Procedure	
2108467	38510	Procedure	
2108468	38520	Procedure	
2108470	38530	Procedure	
2108465	38500	Procedure	
2110362	60100	Procedure	
2109441	49180	Procedure	
2102856	20245	Procedure	
2102855	20240	Procedure	
2102853	20225	Procedure	
2102852	20220	Procedure	
2106137	30100	Procedure	
2106744	32405	Procedure	
2102839	20206	Procedure	
2102838	20205	Procedure	
2102837	20200	Procedure	
2213365	89291	Procedure	
2213364	89290	Procedure	
2106743	32402	Procedure	
2106742	32400	Procedure	
42740975	0137T	Procedure	
2110027	55705	Procedure	
2110026	55700	Procedure	
2110149	57500	Procedure	
2103413	21925	Procedure	
2103412	21920	Procedure	
2104076	25066	Procedure	
2104075	25065	Procedure	
2105247	27614	Procedure	
2105246	27613	Procedure	
2103355	21550	Procedure	
2104759	27041	Procedure	
2104758	27040	Procedure	
2103613	23066	Procedure	
2103612	23065	Procedure	
2104971	27324	Procedure	
2104970	27323	Procedure	
2103823	24066	Procedure	
2103822	24065	Procedure	
2102859	20251	Procedure	
2102858	20250	Procedure	
2108596	40808	Procedure	
2108807	42802	Procedure	
2108809	42806	Procedure	
2108808	42804	Procedure	
2108806	42800	Procedure	
2108621	4100F	Procedure	
2109736	51720	Procedure	
2109729	51700	Procedure	
2102457	15820	Procedure	
2102458	15821	Procedure	
2102459	15822	Procedure	
2102460	15823	Procedure	
