atc_code,rxnorm_concept_id,combination
N02BB74,,Y
N02BE04,,
N02BE05,,
N02BE53,,Y
N02BE54,,Y
N02BE71,,Y
N02BE73,,Y
N02BE74,,Y
N02BG02,,
N02BG03,,
N02BG05,,
N02BG10,,
N02CA51,,Y
N02CA52,,Y
N02CA72,,Y
N02CB01,,
N02CX01,19055310,
N02CX05,,
N03AB03,,
N03AB52,,Y
N03AB54,,Y
N03AC03,,
N03AD51,,Y
N03AG02,,
N03AG03,19126447,
N03AX03,,
N03AX13,,
N03AX17,,
N03AX19,,
N04AA03,,
N04AA09,,
N04AA10,,
N04AB01,,
N04AC30,,
N04BA02,,Y
N04BA03,,Y
N04BA04,,
N04BA05,,Y
N04BA06,,Y
N04BC03,19106060,
N05AB01,,
N05AB09,,
N05AC04,19055309,
N05AD03,,
N05AD04,,
N05AD09,,
N05AF01,19055982,
N05AF02,,
N05AH06,,
N05AL07,,
N05AX10,,
N05BA07,,
N05BA14,,
N05BA15,,
N05BA17,,
N05BA19,,
N05BA56,,Y
N05BB02,,
N05BB51,,Y
N05BC03,,
N05BC04,,
N05BC51,,Y
N05BD01,,
N05BX01,,
N05BX02,,
N05CA08,,
N05CA11,,
N05CA12,,
N05CA20,,
N05CB01,,Y
N05CB02,,Y
N05CC02,,
N05CC03,,
N05CD11,19055540,
N05CD12,,
N05CD13,,
N05CE03,,
N05CM02,,
N05CM03,,
N05CM10,,
N05CM11,,
N05CM12,,
N05CM13,,
N05CM15,,
N05CX01,,Y
N05CX02,,Y
N05CX03,,Y
N05CX04,,Y
N05CX05,,Y
N05CX06,,Y
N06AA03,,
N06AA16,,
N06AA18,,
N06AA19,19032424,
N06AB02,,
N06AB07,,
N06AB09,,
N06AF05,19122259,
N06AF06,,
N06AX01,,
N06AX10,,
N06AX15,,
N06AX19,,
N06AX22,,
N06BA06,,
N06BA10,,
N06BX02,19056282,
N06BX05,,
N06BX08,19055814,
N06BX09,,
N06BX10,,
N06BX15,,
N06BX16,,
N06BX21,,
N06BX22,1539954,
N06CA01,,Y
N06CA02,,Y
N06CA03,,Y
N06DA05,,
N06DA52,,Y
N07AA51,,Y
N07AX02,,
N07BC06,,
N07BC51,,Y
N07CA04,,
N07CA52,,Y
N07XX03,,
N07XX05,,
N07XX08,,
N07XX10,,
N07XX59,,Y
P01AA01,,
P01AA52,,Y
P01AB04,,
P01AB05,,
P01AC02,,
P01AC04,,
P01AR01,,
P01AR03,,
P01AR53,,Y
P01AX01,,
P01AX04,,
P01AX09,,
P01AX10,,
P01AX52,,Y
P01BB02,,
P01BD51,,Y
P01BE01,,
P01BE04,,
P01BE05,,
P01BF01,,Y
P01BF02,,Y
P01BF03,,Y
P01BF04,,Y
P01BF05,,Y
P01BF06,,Y
P01CA02,,
P01CB01,19082764,
P01CC02,,
P01CD01,,
P01CD02,,
P01CX02,19136651,
P02BB01,,
P02BX01,,
P02BX02,,
P02BX03,,
P02BX04,,
P02CA04,,
P02CA51,,Y
P02CC02,,
P02CX02,,
P02DX01,,
P03AA01,,
P03AA02,19056704,
P03AA54,,Y
P03AB01,,
P03AB51,,Y
P03AC51,,Y
P03AC52,,Y
P03AC53,,Y
P03AC54,,Y
P03AX02,,
P03AX04,19056804,
P03AX05,,
P03BA01,,
P03BA02,,
P03BA04,,
P03BX02,,
P03BX03,,
P03BX04,,
P03BX05,,
P03BX06,,
R01AA10,,
R01AA11,,
R01AA13,,
R01AB03,941577,
R01AB08,,
R01AC05,19091288,
R01AC51,,Y
R01AD52,,Y
R01AD53,,Y
R01AD57,,Y
R01AD58,,Y
R01AD60,,Y
R01AX01,,
R01AX02,19098975,
R01AX05,,
R01AX09,,
R01BA51,,Y
R01BA53,,Y
R02AA01,,
R02AA10,,
R02AA13,19095766,
R02AA20,,
R02AB03,19097405,
R03AC09,,
R03AC10,,
R03AC19,,
R03AK01,,Y
R03AK02,,Y
R03AK04,,Y
R03AK05,,Y
R03AK06,,Y
R03AK07,,Y
R03AK08,,Y
R03AK09,,Y
R03AK10,,Y
R03AK11,,Y
R03AL01,,Y
R03AL02,,Y
R03AL03,,Y
R03AL04,,Y
R03BB02,19114049,
R03BB03,,
R03BB06,,
R03CB01,1183554,
R03CB51,,Y
R03CB53,,Y
R03CC06,,
R03CC09,,
R03CC10,,
R03CC53,,Y
R03DA06,,
R03DA09,,
R03DA10,,Y
R03DA11,,
R03DA20,,Y
R03DA51,,Y
R03DA54,,Y
R03DA55,,Y
R03DA57,,Y
R03DA74,,Y
R03DB01,,Y
R03DB02,,Y
R03DB03,,Y
R03DB04,,Y
R03DB05,,Y
R03DB06,,Y
R03DC02,,
R03DC04,,
R03DX06,,
R05CA04,,
R05CA05,,
R05CA06,,
R05CA10,,Y
R05CA11,,
R05CA12,,
R05CA13,,
R05CB08,,
R05CB10,,Y
R05CB11,,
R05CB14,,
R05DA05,,
R05DA10,,
R05DA11,,
R05DA12,,
R05DA20,,Y
R05DB11,,
R05DB12,,
R05DB17,,
R05DB18,,
R05DB19,,
R05DB20,,Y
R05DB21,,
R05DB22,,
R05DB23,,
R05DB24,,
R05DB25,,
R05DB26,,
R05DB27,,
R05FA01,,Y
R05FB01,,Y
R05FB02,,Y
R06AA01,19135871,
R06AA52,,Y
R06AA54,,Y
R06AA56,,Y
R06AA57,,Y
R06AA59,,Y
R06AB03,,
R06AB07,,
R06AB51,,Y
R06AB52,,Y
R06AB54,,Y
R06AB56,,Y
R06AC02,,
R06AC52,,Y
R06AC53,,Y
R06AD05,,
R06AD06,,
R06AD08,,
R06AD52,,Y
R06AD55,,Y
R06AE51,,Y
R06AE53,,Y
R06AE55,,Y
R06AX03,,
R06AX08,,
R06AX15,19054846,
R06AX16,,
R06AX28,,
R06AX29,,
R06AX31,,
R06AX32,,
R06AX53,,Y
R06AX58,,Y
R07AA01,19125632,
R07AA30,,Y
R07AB03,19031345,
R07AB04,,
R07AB05,,
R07AB06,,
R07AB08,,
R07AB09,,
R07AB52,,Y
R07AB53,,Y
S01AA13,,
